date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:43	11896/11896	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-2e78%22	https://qb64.com/wiki/DATA	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DATA.html	(from https://qb64.com/wiki)
12:58:44	13503/13503	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-34bf%22	https://qb64.com/wiki/DATE$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DATE$.html	(from https://qb64.com/wiki)
12:58:45	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://qb64.com/wiki/DATE$-(statement)	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DATE$-(statement)	(from https://qb64.com/wiki)
12:58:46	17679/17679	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-450f%22	https://qb64.com/wiki/DECLARE-DYNAMIC-LIBRARY	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DECLARE-DYNAMIC-LIBRARY.html	(from https://qb64.com/wiki)
12:58:47	5219/5219	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1463%22	https://qb64.com/wiki/DEF-SEG	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DEF-SEG.html	(from https://qb64.com/wiki)
12:58:48	6604/6604	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-19cc%22	https://qb64.com/wiki/DEFDBL	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DEFDBL.html	(from https://qb64.com/wiki)
12:58:49	6724/6724	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1a44%22	https://qb64.com/wiki/DEFINT	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DEFINT.html	(from https://qb64.com/wiki)
12:58:50	6700/6700	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1a2c%22	https://qb64.com/wiki/DEFLNG	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DEFLNG.html	(from https://qb64.com/wiki)
12:58:51	6652/6652	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-19fc%22	https://qb64.com/wiki/DEFSNG	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DEFSNG.html	(from https://qb64.com/wiki)
12:58:52	6624/6624	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-19e0%22	https://qb64.com/wiki/DEFSTR	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DEFSTR.html	(from https://qb64.com/wiki)
12:58:53	13674/13674	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-356a%22	https://qb64.com/wiki/DIM	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DIM.html	(from https://qb64.com/wiki)
12:58:54	13128/13128	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-3348%22	https://qb64.com/wiki/STATIC	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/STATIC.html	(from https://qb64.com/wiki)
12:58:55	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://qb64.com/wiki/DO...LOOP	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DO...LOOP	(from https://qb64.com/wiki)
12:58:56	25047/25047	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-61d7%22	https://qb64.com/wiki/DRAW	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/DRAW.html	(from https://qb64.com/wiki)
12:58:57	7024/7024	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1b70%22	https://qb64.com/wiki/$DYNAMIC	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/$DYNAMIC.html	(from https://qb64.com/wiki)
12:58:58	9134/9134	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-23ae%22	https://qb64.com/wiki/Metacommand	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/Metacommand.html	(from https://qb64.com/wiki)
12:58:59	9186/9186	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-23e2%22	https://qb64.com/wiki/REDIM	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/REDIM.html	(from https://qb64.com/wiki)
12:59:00	6340/6340	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-18c4%22	https://qb64.com/wiki/ELSE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ELSE.html	(from https://qb64.com/wiki)
12:59:01	7350/7350	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1cb6%22	https://qb64.com/wiki/ELSEIF	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ELSEIF.html	(from https://qb64.com/wiki)
12:59:02	3838/3838	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-efe%22	https://qb64.com/wiki/THEN	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/THEN.html	(from https://qb64.com/wiki)
12:59:03	6104/6104	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-17d8%22	https://qb64.com/wiki/END	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/END.html	(from https://qb64.com/wiki)
12:59:04	24532/24532	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-5fd4%22	https://qb64.com/wiki/TYPE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/TYPE.html	(from https://qb64.com/wiki)
12:59:05	4485/4485	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-1185%22	https://qb64.com/wiki/ENVIRON	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ENVIRON.html	(from https://qb64.com/wiki)
12:59:06	17784/17784	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-4578%22	https://qb64.com/wiki/ENVIRON$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ENVIRON$.html	(from https://qb64.com/wiki)
12:59:07	4298/4298	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-10ca%22	https://qb64.com/wiki/EOF	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/EOF.html	(from https://qb64.com/wiki)
12:59:08	11540/11540	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-2d14%22	https://qb64.com/wiki/INPUT-(file-statement)	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/INPUT-(file-statement).html	(from https://qb64.com/wiki)
12:59:09	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://qb64.com/wiki/EQV	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/EQV	(from https://qb64.com/wiki)
12:59:10	4397/4397	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-112d%22	https://qb64.com/wiki/ERASE	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ERASE.html	(from https://qb64.com/wiki)
12:59:11	5808/5808	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-16b0%22	https://qb64.com/wiki/$STATIC	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/$STATIC.html	(from https://qb64.com/wiki)
12:59:12	3288/3288	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-cd8%22	https://qb64.com/wiki/ERDEV	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ERDEV.html	(from https://qb64.com/wiki)
12:59:13	3291/3291	---M-Z	200	added ('OK')	text/html	etag:W/%2265a1679c-cdb%22	https://qb64.com/wiki/ERDEV$	/home/danni/pbasic/pbasicwiki/qb64.com/wiki/ERDEV$.html	(from https://qb64.com/wiki)
